,0,8,4,12,2,10,6,14,1,9,5,13,3,11,7,15
,"0000","0001","0010","0011","0100","0101","0110","0111","1000","1001","1010","1011","1100","1101","1110","1111"
L1111111_U,"L0000","L0001","-","L0011","-","-","L0_1","L0111","L000","-","-","-","-","-","-","-",
L111111_U,"L0000","L0001","-","L0011","-","-","L0_1","L0111","L000","L001","-","L011","L00","-","-","-",
L11111_U,"L0000","L0001","L0_1","L0011","-","-","L0_1","L0111","L000","L001","-","L011","L00","L01","L0","-",
L1111_U,"L0000","L0001","L0_1","L0011","-","-","-","L0111","L000","L001","-","L011","L00","L01","L0","L1111111_U",
L111_U,"L0000","L0001","-","L0011","-","-","-","L0111","L000","L001","-","L011","L00","L01","L0","L1111111_U",
L11_U,"L0000","L0001","-","L0011","-","-","-","L0111","L000","L001","-","L011","L00","L01","L0","L111111_U",
L1_U,"L0000","L0001","-","L0011","-","-","-","L0111","L000","L001","-","L011","L00","L01","L0","L11111_U",
L0000000_U,"-","-","-","-","-","-","-","L111","L1000","L1_1","-","-","L1100","-","L1110","L1111",
L000000_U,"-","-","-","L11","L100","-","L110","L111","L1000","L1_1","-","-","L1100","-","L1110","L1111",
L00000_U,"-","L1","L10","L11","L100","-","L110","L111","L1000","L1_1","-","-","L1100","L1_1","L1110","L1111",
L0000_U,"L0000000_U","L1","L10","L11","L100","-","L110","L111","L1000","-","-","-","L1100","L1_1","L1110","L1111",
L000_U,"L0000000_U","L1","L10","L11","L100","-","L110","L111","L1000","-","-","-","L1100","-","L1110","L1111",
L00_U,"L000000_U","L1","L10","L11","L100","-","L110","L111","L1000","-","-","-","L1100","-","L1110","L1111",
L0_U,"L00000_U","L1","L10","L11","L100","-","L110","L111","L1000","-","-","-","L1100","-","L1110","L1111",
